#MAP=belgium
#PROTOCOL=G-NAV
#
X=3.852500;Y=50.749615;A=1676.8;S=99.2;V=99.0;H=170;C=170;WY=-2.5;WX=0.2;
X=3.852517;Y=50.749557;A=1676.4;S=99.3;V=99.2;H=170;C=170;WY=-2.5;WX=0.2;
#
X=3.852533;Y=50.749496;A=1676.1;S=99.5;V=99.3;H=170;C=170;WY=-2.5;WX=0.2;
X=3.852550;Y=50.749435;A=1675.8;S=99.7;V=99.5;H=170;C=170;WY=-2.5;WX=0.2;
#
X=3.852567;Y=50.749374;A=1675.5;S=99.9;V=99.7;H=170;C=169;WY=-2.5;WX=0.2;
X=3.852585;Y=50.749310;A=1675.1;S=100.0;V=99.8;H=170;C=169;WY=-2.5;WX=0.2;
#
X=3.852602;Y=50.749249;A=1674.8;S=100.2;V=100.0;H=170;C=169;WY=-2.5;WX=0.2;
X=3.852620;Y=50.749187;A=1674.5;S=100.4;V=100.1;H=169;C=169;WY=-2.5;WX=0.2;
#
X=3.852638;Y=50.749126;A=1674.2;S=100.6;V=100.3;H=169;C=169;WY=-2.5;WX=0.2;
X=3.852657;Y=50.749065;A=1673.9;S=100.7;V=100.4;H=169;C=169;WY=-2.5;WX=0.2;
#
X=3.852674;Y=50.749008;A=1673.6;S=100.9;V=100.5;H=169;C=169;WY=-2.5;WX=0.2;
X=3.852695;Y=50.748940;A=1673.3;S=101.0;V=100.7;H=169;C=168;WY=-2.5;WX=0.2;
#
X=3.852714;Y=50.748878;A=1673.0;S=101.2;V=100.8;H=169;C=168;WY=-2.5;WX=0.2;
X=3.852733;Y=50.748817;A=1672.7;S=101.3;V=100.9;H=169;C=168;WY=-2.5;WX=0.2;
#
X=3.852752;Y=50.748756;A=1672.4;S=101.4;V=101.0;H=169;C=168;WY=-2.5;WX=0.2;
X=3.852772;Y=50.748692;A=1672.2;S=101.5;V=101.1;H=169;C=168;WY=-2.5;WX=0.2;
#
X=3.852789;Y=50.748638;A=1672.0;S=101.6;V=101.2;H=169;C=168;WY=-2.5;WX=0.2;
X=3.852811;Y=50.748569;A=1671.7;S=101.6;V=101.2;H=169;C=168;WY=-2.5;WX=0.2;
#
X=3.852832;Y=50.748508;A=1671.5;S=101.7;V=101.3;H=168;C=168;WY=-2.5;WX=0.2;
X=3.852852;Y=50.748444;A=1671.3;S=101.7;V=101.3;H=168;C=168;WY=-2.5;WX=0.2;
#
X=3.852873;Y=50.748383;A=1671.1;S=101.8;V=101.3;H=168;C=167;WY=-2.5;WX=0.2;
X=3.852894;Y=50.748322;A=1670.9;S=101.8;V=101.3;H=168;C=167;WY=-2.5;WX=0.2;
#
X=3.852916;Y=50.748257;A=1670.7;S=101.8;V=101.3;H=168;C=167;WY=-2.5;WX=0.2;
X=3.852923;Y=50.748238;A=1670.6;S=101.8;V=101.3;H=168;C=167;WY=-2.5;WX=0.2;
#
X=3.852959;Y=50.748135;A=1670.4;S=101.7;V=101.3;H=167;C=167;WY=-2.5;WX=0.2;
X=3.852981;Y=50.748074;A=1670.3;S=101.7;V=101.2;H=167;C=167;WY=-2.5;WX=0.2;
#
X=3.853004;Y=50.748009;A=1670.1;S=101.6;V=101.2;H=167;C=167;WY=-2.5;WX=0.2;
X=3.853026;Y=50.747948;A=1670.0;S=101.5;V=101.1;H=167;C=167;WY=-2.5;WX=0.2;
#
X=3.853049;Y=50.747887;A=1669.9;S=101.5;V=101.0;H=167;C=167;WY=-2.5;WX=0.2;
X=3.853071;Y=50.747826;A=1669.8;S=101.4;V=100.9;H=167;C=166;WY=-2.5;WX=0.2;
#
X=3.853093;Y=50.747765;A=1669.7;S=101.3;V=100.9;H=167;C=166;WY=-2.5;WX=0.2;
X=3.853117;Y=50.747700;A=1669.6;S=101.3;V=100.9;H=167;C=166;WY=-2.5;WX=0.2;
#
X=3.853138;Y=50.747643;A=1669.4;S=101.3;V=100.9;H=167;C=166;WY=-2.5;WX=0.2;
X=3.853161;Y=50.747578;A=1669.3;S=101.3;V=100.9;H=167;C=166;WY=-2.5;WX=0.2;
#
X=3.853184;Y=50.747517;A=1669.1;S=101.3;V=100.8;H=167;C=166;WY=-2.5;WX=0.2;
X=3.853207;Y=50.747456;A=1669.0;S=101.2;V=100.8;H=167;C=166;WY=-2.5;WX=0.2;
#
X=3.853230;Y=50.747395;A=1668.8;S=101.2;V=100.8;H=167;C=166;WY=-2.5;WX=0.2;
X=3.853252;Y=50.747334;A=1668.7;S=101.1;V=100.7;H=167;C=166;WY=-2.5;WX=0.2;
#
X=3.853276;Y=50.747272;A=1668.6;S=101.1;V=100.6;H=167;C=166;WY=-2.5;WX=0.2;
X=3.853294;Y=50.747223;A=1668.5;S=101.0;V=100.6;H=167;C=166;WY=-2.5;WX=0.2;
#
X=3.853321;Y=50.747150;A=1668.4;S=100.9;V=100.5;H=167;C=166;WY=-2.5;WX=0.2;
X=3.853344;Y=50.747089;A=1668.3;S=100.8;V=100.4;H=167;C=166;WY=-2.5;WX=0.2;
#
X=3.853367;Y=50.747028;A=1668.2;S=100.7;V=100.3;H=167;C=166;WY=-2.5;WX=0.2;
X=3.853389;Y=50.746964;A=1668.1;S=100.6;V=100.2;H=167;C=166;WY=-2.5;WX=0.2;
#
X=3.853412;Y=50.746902;A=1668.1;S=100.5;V=100.1;H=167;C=166;WY=-2.5;WX=0.2;
X=3.853434;Y=50.746841;A=1667.9;S=100.4;V=100.1;H=167;C=167;WY=-2.5;WX=0.2;
#
X=3.853456;Y=50.746780;A=1667.8;S=100.4;V=100.1;H=167;C=167;WY=-2.5;WX=0.2;
X=3.853478;Y=50.746719;A=1667.6;S=100.4;V=100.1;H=167;C=167;WY=-2.5;WX=0.2;
#
X=3.853500;Y=50.746658;A=1667.5;S=100.4;V=100.1;H=167;C=167;WY=-2.5;WX=0.2;
X=3.853522;Y=50.746597;A=1667.3;S=100.4;V=100.0;H=167;C=167;WY=-2.5;WX=0.2;
#
X=3.853544;Y=50.746536;A=1667.2;S=100.3;V=100.0;H=167;C=167;WY=-2.5;WX=0.2;
X=3.853565;Y=50.746475;A=1667.0;S=100.3;V=100.0;H=168;C=167;WY=-2.5;WX=0.2;
#
X=3.853587;Y=50.746414;A=1666.9;S=100.3;V=100.0;H=168;C=167;WY=-2.5;WX=0.2;
X=3.853609;Y=50.746353;A=1666.8;S=100.2;V=99.9;H=168;C=167;WY=-2.5;WX=0.2;
#
X=3.853630;Y=50.746292;A=1666.7;S=100.2;V=99.9;H=168;C=167;WY=-2.5;WX=0.2;
X=3.853651;Y=50.746231;A=1666.5;S=100.1;V=99.8;H=168;C=167;WY=-2.5;WX=0.2;
#
X=3.853672;Y=50.746170;A=1666.4;S=100.1;V=99.8;H=168;C=167;WY=-2.5;WX=0.2;
X=3.853693;Y=50.746109;A=1666.3;S=100.0;V=99.7;H=168;C=167;WY=-2.5;WX=0.2;
#
X=3.853714;Y=50.746048;A=1666.2;S=99.9;V=99.7;H=168;C=167;WY=-2.5;WX=0.2;
X=3.853734;Y=50.745991;A=1666.1;S=99.9;V=99.6;H=168;C=167;WY=-2.5;WX=0.2;
#
X=3.853753;Y=50.745937;A=1666.0;S=99.8;V=99.5;H=168;C=167;WY=-2.5;WX=0.2;
X=3.853776;Y=50.745865;A=1665.9;S=99.7;V=99.4;H=168;C=167;WY=-2.5;WX=0.2;
#
X=3.853797;Y=50.745808;A=1665.7;S=99.6;V=99.3;H=168;C=168;WY=-2.5;WX=0.2;
X=3.853817;Y=50.745747;A=1665.6;S=99.4;V=99.2;H=168;C=168;WY=-2.5;WX=0.2;
#
X=3.853837;Y=50.745686;A=1665.5;S=99.3;V=99.0;H=169;C=168;WY=-2.5;WX=0.2;
X=3.853856;Y=50.745625;A=1665.4;S=99.1;V=98.9;H=169;C=169;WY=-2.5;WX=0.2;
#
X=3.853873;Y=50.745564;A=1665.3;S=98.9;V=98.7;H=170;C=169;WY=-2.5;WX=0.2;
X=3.853890;Y=50.745502;A=1665.2;S=98.8;V=98.6;H=171;C=170;WY=-2.5;WX=0.2;
#
X=3.853905;Y=50.745441;A=1665.0;S=98.6;V=98.5;H=172;C=171;WY=-2.5;WX=0.2;
X=3.853918;Y=50.745380;A=1664.9;S=98.5;V=98.4;H=173;C=173;WY=-2.5;WX=0.2;
#
X=3.853928;Y=50.745319;A=1664.7;S=98.4;V=98.3;H=174;C=174;WY=-2.5;WX=0.2;
X=3.853935;Y=50.745258;A=1664.5;S=98.4;V=98.3;H=176;C=176;WY=-2.5;WX=0.2;
#
#
X=3.853938;Y=50.745213;A=1664.4;S=98.4;V=98.3;H=177;C=178;WY=-2.5;WX=0.2;
X=3.853937;Y=50.745079;A=1663.8;S=98.6;V=98.4;H=182;C=182;WY=-2.5;WX=0.2;
X=3.853930;Y=50.745010;A=1663.5;S=98.8;V=98.6;H=184;C=185;WY=-2.5;WX=0.2;
#
X=3.853919;Y=50.744949;A=1663.1;S=99.0;V=98.8;H=186;C=187;WY=-2.5;WX=0.2;
